2025-10-18 00:13:23,671 - INFO - [INFO] - Starting comprehensive dataset reset
2025-10-18 00:13:23,673 - INFO - [INFO] - Starting reset of document_generated field in tickers collection
2025-10-18 00:13:26,971 - INFO - [INFO] - Successfully updated 91 documents in tickers collection
2025-10-18 00:13:26,972 - INFO - [INFO] - Reset of document_generated field completed
2025-10-18 00:13:26,972 - INFO - [INFO] - Starting reset of task_completed field in pipeline collection
2025-10-18 00:13:27,277 - INFO - [INFO] - Successfully updated 2 documents in pipeline collection
2025-10-18 00:13:27,279 - INFO - [INFO] - Reset of task_completed field completed
2025-10-18 00:13:27,279 - INFO - [INFO] - Starting deletion of tickers with recurrence 'once'
2025-10-18 00:13:27,569 - INFO - [INFO] - Successfully deleted 0 documents with recurrence 'once' from tickers collection
2025-10-18 00:13:27,569 - INFO - [INFO] - Deletion of once tickers completed
2025-10-18 00:13:27,570 - INFO - [INFO] - Starting deletion of pipeline documents with recurrence 'once'
2025-10-18 00:13:27,862 - INFO - [INFO] - Successfully deleted 0 documents with recurrence 'once' from pipeline collection
2025-10-18 00:13:27,863 - INFO - [INFO] - Deletion of once pipeline documents completed
2025-10-18 00:13:27,863 - INFO - [INFO] - Starting deletion of all weigh_factors documents
2025-10-18 00:13:28,156 - INFO - [INFO] - Successfully deleted 15 documents from 'weight_factors'.
2025-10-18 00:13:28,157 - INFO - [INFO] - All reset operations completed successfully
2025-10-18 00:16:28,108 - ERROR - [ERR-0404] - [462c6ba0] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:28,145 - ERROR - [ERR-0104] - [f420fcfc] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:28,174 - ERROR - [ERR-0404] - [33636b5e] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:28,269 - ERROR - [ERR-0104] - [3cd1bc6c] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:28,327 - ERROR - [ERR-0104] - [50e31e46] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:28,327 - ERROR - [ERR-0404] - [3684c677] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:28,359 - ERROR - [ERR-0203] - [3b1e7891] Invalid decryption: ENCRYPTION_SECRET is incorrect or the encrypted text is corrupted | Exception: InvalidToken:  | From: crypt.py:decrypt_string()
2025-10-18 00:16:28,392 - ERROR - [ERR-0001] - [a71707c6] Error processing ticker ^N225 | Exception: AttributeError: 'NoneType' object has no attribute 'format' | From: batch_run.py:process_ticker()
2025-10-18 00:16:28,392 - ERROR - [ERR-0104] - [8de28076] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:28,423 - ERROR - [ERR-0404] - [40bee302] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:28,463 - ERROR - [ERR-0104] - [25d48297] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:28,492 - ERROR - [ERR-0404] - [76ef5562] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:28,577 - ERROR - [ERR-0104] - [3ddd546f] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:28,606 - ERROR - [ERR-0404] - [147d632e] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:28,663 - ERROR - [ERR-0104] - [7a297eaa] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:28,693 - ERROR - [ERR-0104] - [928e7d26] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:28,693 - ERROR - [ERR-0104] - [dfc8efdd] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:28,750 - ERROR - [ERR-0104] - [ccbce278] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
